,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,PERSONS_INJURED,PERSONS_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED
121,632016,63,2016,0,0,3,3,0,6,0,0,0,0,0,0,0,0
122,882015,88,2015,1,0,0,2,0,3,322,1,69,1,84,0,169,0
123,1202013,120,2013,0,0,0,0,0,0,672,0,140,0,17,0,515,0
124,792014,79,2014,0,4,0,19,2,25,575,2,171,2,84,0,320,0
125,662016,66,2016,0,0,0,7,1,8,0,0,0,0,0,0,0,0
126,1212014,121,2014,0,2,0,14,0,16,144,0,0,0,0,0,144,0
127,792015,79,2015,5,0,0,3,2,10,612,2,146,2,100,0,366,0
128,482013,48,2013,0,0,0,0,0,0,543,2,141,2,30,0,372,0
129,482014,48,2014,0,0,0,17,0,17,519,1,117,1,38,0,364,0
130,482015,48,2015,4,0,1,21,2,28,457,0,104,0,28,0,325,0
131,482016,48,2016,1,0,1,7,3,12,0,0,0,0,0,0,0,0
132,792016,79,2016,0,0,0,3,0,3,0,0,0,0,0,0,0,0
133,1122013,112,2013,0,0,0,0,0,0,461,2,115,1,26,0,320,1
134,772016,77,2016,0,0,0,3,0,3,0,0,0,0,0,0,0,0
135,902014,90,2014,6,2,5,9,1,23,733,5,162,4,160,1,411,0
136,1142015,114,2015,38,0,1,16,4,59,863,7,181,2,91,2,591,3
137,762013,76,2013,0,0,0,0,0,0,279,1,42,1,25,0,212,0
138,812013,81,2013,0,0,0,0,0,0,485,0,94,0,36,0,355,0
139,12013,1,2013,0,0,0,0,0,0,418,2,182,1,49,0,187,1
140,12014,1,2014,9,7,0,2,4,22,386,0,138,0,71,0,177,0
141,12015,1,2015,3,0,0,0,0,3,389,0,127,0,83,0,179,0
142,332016,33,2016,0,0,0,7,2,9,0,0,0,0,0,0,0,0
143,882016,88,2016,0,0,0,1,0,1,0,0,0,0,0,0,0,0
144,502013,50,2013,0,0,0,0,0,0,310,1,60,0,10,0,240,1
145,422014,42,2014,0,0,0,22,1,23,374,2,96,1,24,0,254,1
146,1232015,123,2015,0,0,0,0,0,0,392,5,34,2,6,0,352,3
147,422015,42,2015,2,0,1,16,0,19,363,0,94,0,26,0,243,0
148,182013,18,2013,0,0,0,0,0,0,569,2,238,1,92,0,239,1
149,182014,18,2014,0,0,2,3,4,9,537,1,220,0,81,0,236,1
150,182015,18,2015,1,0,0,1,3,5,498,1,170,1,88,0,240,0
151,182016,18,2016,0,0,0,0,4,4,0,0,0,0,0,0,0,0
152,422016,42,2016,0,0,0,10,0,10,0,0,0,0,0,0,0,0
153,902015,90,2015,3,0,5,10,1,19,860,1,181,0,162,0,517,1
154,1032013,103,2013,0,0,0,0,0,0,747,3,205,3,27,0,515,0
155,812014,81,2014,0,0,0,11,0,11,454,1,102,0,46,1,306,0
156,1082014,108,2014,6,0,2,10,0,18,1064,1,146,0,106,0,812,1
157,1062014,106,2014,0,0,0,11,0,11,960,1,123,1,25,0,812,0
158,672013,67,2013,0,0,0,0,0,0,1454,8,265,3,75,0,1114,5
159,672014,67,2014,0,0,1,23,0,24,1276,6,227,5,56,0,993,1
160,672015,67,2015,1,0,2,14,0,17,1274,3,199,3,75,0,1000,0
161,672016,67,2016,0,0,1,6,0,7,0,0,0,0,0,0,0,0
162,702013,70,2013,0,0,0,0,0,0,931,0,273,0,72,0,586,0
163,1142013,114,2013,0,0,0,0,0,0,888,6,218,3,114,0,556,3
164,692014,69,2014,0,4,0,7,0,11,585,5,79,0,18,0,488,5
165,1212016,121,2016,0,0,1,1,1,3,0,0,0,0,0,0,0,0
166,692015,69,2015,0,0,0,13,0,13,588,4,98,2,19,0,471,2
167,832013,83,2013,0,0,0,0,0,0,627,1,130,1,72,0,425,0
168,202013,20,2013,0,0,0,0,0,0,261,1,81,0,37,0,143,1
169,202014,20,2014,0,0,2,6,0,8,221,1,74,0,38,0,109,1
170,202015,20,2015,0,0,0,1,1,2,244,1,78,1,43,0,123,0
171,522016,52,2016,1,0,0,5,1,7,0,0,0,0,0,0,0,0
172,692016,69,2016,0,0,0,3,0,3,0,0,0,0,0,0,0,0
173,902016,90,2016,0,0,4,4,0,8,0,0,0,0,0,0,0,0
174,1032014,103,2014,2,4,1,15,0,22,694,2,180,2,32,0,482,0
175,812015,81,2015,2,0,0,7,0,9,420,3,78,2,56,0,286,1
176,942013,94,2013,0,0,0,0,0,0,409,2,65,1,58,0,286,1
177,722014,72,2014,0,0,2,4,0,6,663,0,139,0,74,0,450,0
178,52013,5,2013,0,0,0,0,0,0,424,0,133,0,64,0,227,0
179,52014,5,2014,0,3,2,2,1,8,347,4,123,4,76,0,148,0
180,52015,5,2015,3,0,3,2,3,11,347,1,109,1,72,0,166,0
181,52016,5,2016,0,0,5,1,1,7,0,0,0,0,0,0,0,0
182,1142014,114,2014,1,5,0,14,1,21,883,9,220,3,114,0,549,6
183,1012015,101,2015,0,0,1,5,0,6,247,2,55,0,14,1,178,1
184,322014,32,2014,0,0,0,3,0,3,301,0,87,0,22,0,192,0
185,1052013,105,2013,0,0,0,0,0,0,1686,12,161,6,38,0,1487,6
186,832014,83,2014,2,0,1,12,0,15,539,2,106,1,79,0,354,1
187,1122015,112,2015,3,0,5,2,2,12,516,2,110,1,26,0,380,1
188,222013,22,2013,0,0,0,0,0,0,82,1,27,0,15,0,40,1
189,222014,22,2014,0,0,0,0,2,2,69,0,22,0,13,0,34,0
190,222015,22,2015,0,0,0,0,0,0,92,0,27,0,25,0,40,0
191,1122016,112,2016,0,0,1,1,0,2,0,0,0,0,0,0,0,0
192,1032015,103,2015,5,0,0,5,0,10,824,1,201,1,27,0,596,0
193,812016,81,2016,0,0,0,5,0,5,0,0,0,0,0,0,0,0
194,942014,94,2014,2,1,0,0,0,3,378,2,62,1,61,0,255,1
195,1122014,112,2014,0,0,4,1,1,6,492,3,121,3,18,0,353,0
196,1232016,123,2016,0,0,0,1,0,1,0,0,0,0,0,0,0,0
197,72013,7,2013,0,0,0,0,0,0,271,0,67,0,50,0,154,0
198,72014,7,2014,0,4,4,5,0,13,244,1,76,1,42,0,126,0
199,72015,7,2015,2,0,2,11,0,15,219,1,45,1,42,0,132,0
