,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,Backing Unsafely,Brake Lights (Defect.or Improper),"Bus Lane, Driving in",Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Steady Red Signal,Disobey Traffic Control Device,Equipment (Other),Fail to Keep Right,Fail to Signal,Following Too Closely,Headlights (Defect. or Improper),Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Other Movers,Pavement Markings,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,P12,P123,Traf_Total,Neigh_Slow_Zone_Total,Speed_Bump_Total,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
201,1202013,120.0,2013,0,0,0,0,0,0,17,1241,1,1839,0,4,668,1964,524,22,618,9,794,4,33,69,182,116,59,45,1098,652,2196,11,971,8,1240,0,67,370,1527,2393,554,1775,5840,19296,1,0,672,0,140,0,17,0,515,0
202,1202014,120.0,2014,0,1,1,19,4,25,17,422,1,1057,0,0,749,1876,175,11,562,8,439,5,39,64,150,261,55,21,11,696,1100,47,1113,5,623,1,25,160,592,1442,300,2038,4931,12027,0,1,609,4,120,1,24,0,465,3
203,1202015,120.0,2015,6,0,1,8,1,16,9,172,2,783,7,3,1052,2220,44,3,459,4,294,3,73,63,61,361,45,18,10,40,981,64,1064,4,938,0,5,46,427,1410,158,1993,5420,10823,0,1,568,1,112,1,12,0,444,0
204,92013,9.0,2013,0,0,0,0,0,0,11,85,17,2403,0,5,1181,1323,100,1,43,5,77,0,11,518,45,244,12,41,396,313,1110,8,23,10,156,4,5,60,259,416,51,330,3813,8933,0,0,390,1,144,1,103,0,143,0
205,92014,9.0,2014,0,0,0,5,0,5,12,44,12,1755,0,1,1063,1501,76,0,67,8,149,1,11,931,65,258,6,39,43,267,1013,15,68,6,147,0,5,23,235,297,51,414,4034,8169,0,0,371,1,134,0,97,1,140,0
206,92015,9.0,2015,0,0,2,0,0,2,0,37,1,1190,0,1,944,1209,45,2,36,4,105,3,4,1118,50,330,1,10,188,365,953,17,69,8,63,0,9,15,146,287,49,453,3971,7259,0,0,295,0,103,0,84,0,108,0
207,262013,26.0,2013,0,0,0,0,0,0,3,369,0,1510,1,13,261,549,66,13,71,1,256,1,21,564,18,364,29,6,324,437,441,7,609,122,235,7,50,29,255,242,68,1080,2857,6942,0,0,230,1,53,1,24,0,153,0
208,262014,26.0,2014,1,4,0,5,1,11,3,122,0,1140,9,3,394,702,61,12,37,2,100,1,9,785,11,506,17,28,14,428,277,16,1048,3,135,0,63,14,140,232,52,1624,3605,6364,0,0,202,2,50,1,38,0,114,1
209,262015,26.0,2015,0,0,0,6,0,6,9,51,0,726,16,2,286,1007,61,11,58,1,75,0,0,400,7,447,45,13,13,455,175,48,948,3,67,0,70,15,163,201,39,1546,3354,5412,0,0,161,1,40,1,20,0,101,0
210,432013,43.0,2013,0,0,0,0,0,0,46,350,1,481,9,6,372,793,118,2,483,4,324,2,15,832,6,139,10,9,531,259,785,39,250,13,1408,19,133,26,250,583,107,921,3662,8405,0,0,692,3,165,3,39,0,488,0
211,432014,43.0,2014,0,3,3,21,3,30,93,342,0,709,2,3,332,1430,55,13,730,7,321,16,38,1449,144,289,53,29,424,325,706,86,549,10,1159,10,51,9,241,722,126,1707,5642,10473,0,0,574,6,139,2,44,1,391,3
212,432015,43.0,2015,0,0,1,17,1,19,57,672,0,481,12,17,256,1082,59,3,621,2,744,4,40,954,38,589,18,12,237,105,555,57,582,6,614,17,35,4,250,629,94,1867,4555,8846,0,0,550,3,133,2,20,0,397,1
213,602013,60.0,2013,0,0,0,0,0,0,4,56,0,1330,22,0,238,1470,6,0,136,0,69,0,8,247,21,91,9,32,295,99,865,11,234,0,1096,12,101,13,297,398,57,481,2891,7217,0,0,393,2,108,0,24,0,261,2
214,602014,60.0,2014,0,0,4,12,1,17,21,108,10,1270,2,4,285,1637,5,8,184,0,200,6,2,290,26,215,15,4,21,174,895,42,490,1,1194,1,185,31,445,427,74,946,3414,8272,0,0,418,1,116,1,39,0,263,0
215,602015,60.0,2015,0,0,1,1,3,5,14,135,1,676,15,0,310,1811,27,4,281,9,299,6,2,274,126,315,13,7,35,148,833,76,685,0,1735,5,171,18,371,618,84,1370,4131,9104,0,0,353,2,87,1,28,0,238,1
216,772013,77.0,2013,0,0,0,0,0,0,43,767,0,1211,0,0,439,826,30,0,58,13,1595,4,33,268,34,53,43,30,364,83,767,17,769,97,764,51,90,32,711,590,188,940,3055,9970,0,0,655,3,171,2,71,1,413,0
217,772014,77.0,2014,0,1,0,7,1,9,36,918,35,1065,0,37,852,2023,4,5,252,12,1579,0,40,465,2,307,40,80,15,146,751,40,1477,50,796,15,119,70,828,660,219,2116,5643,12938,0,0,593,2,116,1,58,0,419,1
218,772015,77.0,2015,7,0,0,7,0,14,41,699,142,1137,0,1,1124,2887,0,13,525,7,905,0,34,679,7,420,66,71,23,389,744,39,1673,59,1177,8,69,38,664,716,264,2723,7561,14621,0,0,564,3,134,2,53,0,377,1
219,942013,94.0,2013,0,0,0,0,0,0,24,88,0,851,3,3,490,1756,72,4,83,3,180,0,42,514,52,16,31,84,376,115,827,2,765,22,584,137,37,46,357,394,87,897,4286,8045,0,0,409,2,65,1,58,0,286,1
220,942014,94.0,2014,2,1,0,0,0,3,8,63,1,776,4,4,847,1214,87,3,68,2,185,0,32,393,15,123,57,111,6,85,796,14,752,10,483,102,11,42,304,391,96,1014,3614,7085,0,0,378,2,62,1,61,0,255,1
221,942015,94.0,2015,2,0,5,3,1,11,31,73,1,725,0,1,849,1220,86,2,131,4,171,0,30,373,39,145,38,99,9,33,783,2,777,3,730,95,23,50,296,358,111,1093,3732,7288,0,0,345,1,55,0,78,0,212,1
222,1112013,111.0,2013,0,0,0,0,0,0,3,9,0,3077,1,0,185,432,2,0,55,5,12,21,1,17,9,117,3,9,784,456,2807,30,157,6,1131,44,11,111,318,643,95,362,1848,10551,1,4,679,5,72,2,17,0,590,3
223,1112014,111.0,2014,0,0,0,3,0,3,2,7,0,2537,0,0,265,578,15,0,58,3,4,21,1,93,22,370,6,11,21,439,1653,72,548,14,821,19,25,96,248,507,77,1054,2079,8533,0,14,598,7,72,2,9,0,517,5
224,1112015,111.0,2015,0,0,1,4,0,5,1,16,0,2105,0,0,292,761,3,0,70,1,24,48,1,20,8,725,9,15,38,49,1789,47,518,1,846,10,25,81,207,564,82,1369,2524,8356,0,17,699,4,90,0,12,0,597,4
225,172013,17.0,2013,0,0,0,0,0,0,16,936,6,761,7,0,311,1786,19,5,1102,4,619,0,124,1869,0,150,3,15,1191,814,750,0,43,148,71,43,5,12,434,191,62,1298,6526,11497,0,0,487,2,203,2,57,0,227,0
226,172014,17.0,2014,0,2,0,1,1,4,9,862,7,498,0,3,733,557,111,4,1033,10,313,0,457,2095,1,463,11,33,1886,1607,343,20,114,85,96,21,9,5,258,157,41,1641,6952,11842,0,0,444,0,167,0,61,0,216,0
227,172015,17.0,2015,0,0,0,0,0,0,20,229,29,487,0,0,703,803,32,4,1000,4,54,0,161,2059,3,531,1,54,1517,660,234,3,161,122,40,0,18,13,138,117,16,1696,6819,9213,0,0,484,4,170,4,93,0,221,0
228,342013,34.0,2013,0,0,0,0,0,0,1,224,0,750,0,1,57,1067,134,7,30,0,230,3,8,474,16,154,2,5,206,134,571,14,58,0,242,22,12,19,97,280,62,258,2113,4880,0,0,363,1,122,1,34,0,207,0
229,342014,34.0,2014,2,3,0,11,2,18,2,74,0,630,5,1,216,1720,21,12,37,0,50,11,5,547,25,220,9,4,5,81,426,28,167,2,173,16,26,10,100,272,44,461,3023,4939,0,0,329,0,92,0,45,0,192,0
230,342015,34.0,2015,3,0,1,9,2,15,4,57,2,338,1,2,346,2540,145,12,114,0,80,0,1,552,15,300,10,1,4,24,205,20,266,5,179,1,77,11,142,370,78,710,4250,5902,0,0,347,0,109,0,29,0,209,0
