,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,Backing Unsafely,Brake Lights (Defect.or Improper),"Bus Lane, Driving in",Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Steady Red Signal,Disobey Traffic Control Device,Equipment (Other),Fail to Keep Right,Fail to Signal,Following Too Closely,Headlights (Defect. or Improper),Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Other Movers,Pavement Markings,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,P12,P123,Traf_Total,Neigh_Slow_Zone_Total,Speed_Bump_Total,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
71,402015,40.0,2015,7,1,0,10,2,20,8,646,1,692,0,0,564,1783,143,11,67,8,680,1,30,1281,49,580,25,42,19,106,606,22,946,10,987,0,50,21,879,734,157,1640,5394,11148,0,0,624,0,116,0,46,0,462,0
72,1082013,108.0,2013,0,0,0,0,0,0,5,359,0,1445,0,10,570,2439,2,1,102,3,46,0,9,1549,13,303,13,20,1215,244,1618,12,454,36,587,269,4,37,760,864,94,884,6948,13083,0,1,1013,10,163,6,86,0,764,4
73,1082014,108.0,2014,6,0,2,10,0,18,21,193,0,1355,0,0,639,2712,42,6,47,2,85,1,18,1513,4,521,7,35,13,27,1039,18,577,27,450,137,4,43,619,655,69,1170,6213,10879,1,15,1064,1,146,0,106,0,812,1
74,1082015,108.0,2015,19,1,0,5,1,26,9,8,0,1211,0,0,1205,3305,55,1,81,0,18,1,52,1745,22,589,11,28,22,0,989,13,670,13,475,38,0,13,212,565,42,1364,7710,11393,2,30,970,4,122,1,96,2,752,1
75,142013,14.0,2013,0,0,0,0,0,0,18,401,26,3147,0,15,311,2664,0,1,280,4,1139,10,7,2275,14,1041,14,47,1321,27,2715,0,7,917,762,311,235,69,1372,487,156,1342,8491,19793,0,0,594,3,261,3,99,0,234,0
76,142014,14.0,2014,2,0,4,0,1,7,29,332,9,3126,0,11,662,3770,12,18,568,2,781,6,0,2906,3,1785,10,210,339,155,2090,3,176,1035,435,293,332,17,998,524,208,2542,10876,20845,0,0,562,2,258,1,91,0,213,1
77,142015,14.0,2015,7,0,0,0,1,8,21,265,5,2872,3,11,583,3820,0,0,1025,3,321,2,15,2965,2,2392,14,297,259,64,1950,2,281,746,263,293,305,9,536,390,162,3714,11965,19876,0,0,505,1,223,1,94,0,188,0
78,482013,48.0,2013,0,0,0,0,0,0,31,162,26,1022,0,0,402,420,19,5,158,7,137,6,14,1197,3,24,8,15,201,196,688,18,1757,14,1873,37,71,16,242,695,125,1965,4327,9589,0,0,543,2,141,2,30,0,372,0
79,482014,48.0,2014,0,0,0,17,0,17,23,277,79,878,0,1,491,890,46,12,421,10,302,6,15,1422,12,211,22,11,8,284,582,55,1792,49,1219,42,74,18,288,752,124,2501,5463,10416,0,0,519,1,117,1,38,0,364,0
80,482015,48.0,2015,4,0,1,21,2,28,20,247,1,848,1,3,422,819,30,4,239,4,381,3,9,1425,8,281,38,11,9,282,523,32,1304,72,1126,46,49,12,300,634,128,1894,4693,9311,0,0,457,0,104,0,28,0,325,0
